Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.159231,0.399038,0.777333,0.554667,0.554667,0.554667
2,0.152078,0.389972,0.777333,0.554667,0.554667,0.554667
3,0.150136,0.387473,0.777333,0.554667,0.554667,0.554667
4,0.149398,0.386521,0.777333,0.554667,0.554667,0.554667
5,0.149036,0.386052,0.777333,0.554667,0.554667,0.554667
6,0.148822,0.385774,0.777333,0.554667,0.554667,0.554667
7,0.148679,0.385589,0.777333,0.554667,0.554667,0.554667
8,0.148577,0.385457,0.777333,0.554667,0.554667,0.554667
9,0.148501,0.385358,0.777333,0.554667,0.554667,0.554667
10,0.148444,0.385284,0.777333,0.554667,0.554667,0.554667
11,0.148401,0.385228,0.777333,0.554667,0.554667,0.554667
12,0.148368,0.385186,0.777333,0.554667,0.554667,0.554667
13,0.148343,0.385154,0.777333,0.554667,0.554667,0.554667
14,0.148326,0.385131,0.777333,0.554667,0.554667,0.554667
15,0.148313,0.385114,0.777333,0.554667,0.554667,0.554667
16,0.148305,0.385104,0.777333,0.554667,0.554667,0.554667
17,0.148301,0.385098,0.777333,0.554667,0.554667,0.554667
18,0.148299,0.385096,0.777333,0.554667,0.554667,0.554667
19,0.1483,0.385097,0.777333,0.554667,0.554667,0.554667
20,0.148303,0.385101,0.777333,0.554667,0.554667,0.554667
21,0.148308,0.385107,0.777333,0.554667,0.554667,0.554667
22,0.148314,0.385115,0.777333,0.554667,0.554667,0.554667
23,0.148321,0.385125,0.777333,0.554667,0.554667,0.554667
24,0.148329,0.385136,0.777333,0.554667,0.554667,0.554667
25,0.148339,0.385148,0.777333,0.554667,0.554667,0.554667
26,0.148348,0.38516,0.777333,0.554667,0.554667,0.554667
27,0.148359,0.385174,0.777333,0.554667,0.554667,0.554667
28,0.14837,0.385188,0.777333,0.554667,0.554667,0.554667
29,0.148381,0.385202,0.777333,0.554667,0.554667,0.554667
30,0.148392,0.385217,0.777333,0.554667,0.554667,0.554667
31,0.148404,0.385232,0.777333,0.554667,0.554667,0.554667
32,0.148415,0.385247,0.777333,0.554667,0.554667,0.554667
33,0.148427,0.385262,0.777333,0.554667,0.554667,0.554667
34,0.148438,0.385277,0.777333,0.554667,0.554667,0.554667
35,0.14845,0.385292,0.777333,0.554667,0.554667,0.554667
36,0.148461,0.385307,0.777333,0.554667,0.554667,0.554667
37,0.148472,0.385321,0.777333,0.554667,0.554667,0.554667
38,0.148483,0.385335,0.777333,0.554667,0.554667,0.554667
39,0.148493,0.385348,0.777333,0.554667,0.554667,0.554667
40,0.148503,0.385361,0.777333,0.554667,0.554667,0.554667
41,0.148513,0.385374,0.777333,0.554667,0.554667,0.554667
42,0.148522,0.385386,0.777333,0.554667,0.554667,0.554667
43,0.148531,0.385398,0.777333,0.554667,0.554667,0.554667
44,0.14854,0.385408,0.777333,0.554667,0.554667,0.554667
45,0.148547,0.385419,0.777333,0.554667,0.554667,0.554667
46,0.148555,0.385428,0.777333,0.554667,0.554667,0.554667
47,0.148562,0.385437,0.777333,0.554667,0.554667,0.554667
48,0.148568,0.385445,0.777333,0.554667,0.554667,0.554667
49,0.148573,0.385452,0.777333,0.554667,0.554667,0.554667
50,0.148578,0.385459,0.777333,0.554667,0.554667,0.554667
51,0.148583,0.385464,0.777333,0.554667,0.554667,0.554667
52,0.148587,0.385469,0.777333,0.554667,0.554667,0.554667
53,0.14859,0.385473,0.777333,0.554667,0.554667,0.554667
54,0.148592,0.385477,0.777333,0.554667,0.554667,0.554667
55,0.148594,0.385479,0.777333,0.554667,0.554667,0.554667
56,0.148595,0.385481,0.777333,0.554667,0.554667,0.554667
57,0.148596,0.385482,0.777333,0.554667,0.554667,0.554667
58,0.148596,0.385482,0.777333,0.554667,0.554667,0.554667
59,0.148595,0.385481,0.777333,0.554667,0.554667,0.554667
60,0.148594,0.385479,0.777333,0.554667,0.554667,0.554667
61,0.148592,0.385476,0.777333,0.554667,0.554667,0.554667
62,0.14859,0.385473,0.777333,0.554667,0.554667,0.554667
63,0.148586,0.385469,0.777333,0.554667,0.554667,0.554667
64,0.148583,0.385464,0.777333,0.554667,0.554667,0.554667
65,0.148578,0.385458,0.777333,0.554667,0.554667,0.554667
66,0.148573,0.385452,0.777333,0.554667,0.554667,0.554667
67,0.148568,0.385445,0.777333,0.554667,0.554667,0.554667
68,0.148562,0.385437,0.777333,0.554667,0.554667,0.554667
69,0.148555,0.385428,0.777333,0.554667,0.554667,0.554667
70,0.148548,0.385419,0.777333,0.554667,0.554667,0.554667
71,0.14854,0.385409,0.777333,0.554667,0.554667,0.554667
72,0.148532,0.385399,0.777333,0.554667,0.554667,0.554667
73,0.148523,0.385387,0.777333,0.554667,0.554667,0.554667
74,0.148514,0.385376,0.777333,0.554667,0.554667,0.554667
75,0.148505,0.385363,0.777333,0.554667,0.554667,0.554667
76,0.148495,0.38535,0.777333,0.554667,0.554667,0.554667
77,0.148485,0.385337,0.777333,0.554667,0.554667,0.554667
78,0.148474,0.385323,0.777333,0.554667,0.554667,0.554667
79,0.148463,0.385309,0.777333,0.554667,0.554667,0.554667
80,0.148451,0.385294,0.777333,0.554667,0.554667,0.554667
81,0.14844,0.385279,0.777333,0.554667,0.554667,0.554667
82,0.148428,0.385263,0.777333,0.554667,0.554667,0.554667
83,0.148415,0.385247,0.777333,0.554667,0.554667,0.554667
84,0.148403,0.385231,0.777333,0.554667,0.554667,0.554667
85,0.14839,0.385214,0.777333,0.554667,0.554667,0.554667
86,0.148377,0.385198,0.777333,0.554667,0.554667,0.554667
87,0.148364,0.38518,0.777333,0.554667,0.554667,0.554667
88,0.148351,0.385163,0.777333,0.554667,0.554667,0.554667
89,0.148337,0.385146,0.777333,0.554667,0.554667,0.554667
90,0.148323,0.385128,0.777333,0.554667,0.554667,0.554667
91,0.14831,0.38511,0.777333,0.554667,0.554667,0.554667
92,0.148296,0.385092,0.777333,0.554667,0.554667,0.554667
93,0.148282,0.385074,0.777333,0.554667,0.554667,0.554667
94,0.148268,0.385055,0.777333,0.554667,0.554667,0.554667
95,0.148254,0.385037,0.777333,0.554667,0.554667,0.554667
96,0.148239,0.385019,0.777333,0.554667,0.554667,0.554667
97,0.148225,0.385,0.777333,0.554667,0.554667,0.554667
98,0.148211,0.384982,0.777333,0.554667,0.554667,0.554667
99,0.148197,0.384963,0.777333,0.554667,0.554667,0.554667
100,0.148182,0.384945,0.777333,0.554667,0.554667,0.554667
101,0.148168,0.384926,0.777333,0.554667,0.554667,0.554667
102,0.148154,0.384908,0.777333,0.554667,0.554667,0.554667
103,0.14814,0.384889,0.777333,0.554667,0.554667,0.554667
104,0.148126,0.384871,0.777333,0.554667,0.554667,0.554667
105,0.148112,0.384853,0.777333,0.554667,0.554667,0.554667
106,0.148097,0.384834,0.777333,0.554667,0.554667,0.554667
107,0.148083,0.384816,0.777333,0.554667,0.554667,0.554667
108,0.148069,0.384798,0.777333,0.554667,0.554667,0.554667
109,0.148055,0.38478,0.777333,0.554667,0.554667,0.554667
110,0.148042,0.384762,0.777333,0.554667,0.554667,0.554667
111,0.148028,0.384744,0.777333,0.554667,0.554667,0.554667
112,0.148014,0.384726,0.777333,0.554667,0.554667,0.554667
113,0.148,0.384708,0.777333,0.554667,0.554667,0.554667
114,0.147986,0.38469,0.777333,0.554667,0.554667,0.554667
115,0.147972,0.384672,0.777333,0.554667,0.554667,0.554667
116,0.147959,0.384654,0.777333,0.554667,0.554667,0.554667
117,0.147945,0.384636,0.777333,0.554667,0.554667,0.554667
118,0.147931,0.384618,0.777333,0.554667,0.554667,0.554667
119,0.147917,0.3846,0.777333,0.554667,0.554667,0.554667
120,0.147903,0.384582,0.777333,0.554667,0.554667,0.554667
121,0.147889,0.384564,0.777333,0.554667,0.554667,0.554667
122,0.147875,0.384545,0.777333,0.554667,0.554667,0.554667
123,0.147861,0.384527,0.777333,0.554667,0.554667,0.554667
124,0.147846,0.384508,0.777333,0.554667,0.554667,0.554667
125,0.147832,0.384489,0.777333,0.554667,0.554667,0.554667
126,0.147817,0.38447,0.777333,0.554667,0.554667,0.554667
127,0.147802,0.384451,0.777333,0.554667,0.554667,0.554667
128,0.147787,0.384431,0.777333,0.554667,0.554667,0.554667
129,0.147772,0.384411,0.777333,0.554667,0.554667,0.554667
130,0.147756,0.384391,0.777333,0.554667,0.554667,0.554667
131,0.14774,0.38437,0.777333,0.554667,0.554667,0.554667
132,0.147724,0.384349,0.777333,0.554667,0.554667,0.554667
133,0.147707,0.384327,0.777333,0.554667,0.554667,0.554667
134,0.14769,0.384305,0.777333,0.554667,0.554667,0.554667
135,0.147672,0.384282,0.777333,0.554667,0.554667,0.554667
136,0.147654,0.384258,0.777333,0.554667,0.554667,0.554667
137,0.147636,0.384234,0.777333,0.554667,0.554667,0.554667
138,0.147616,0.384208,0.777333,0.554667,0.554667,0.554667
139,0.147596,0.384182,0.777333,0.554667,0.554667,0.554667
140,0.147575,0.384156,0.777333,0.554667,0.554667,0.554667
141,0.147554,0.384128,0.777333,0.554667,0.554667,0.554667
142,0.147532,0.384099,0.777333,0.554667,0.554667,0.554667
143,0.147509,0.384069,0.777333,0.554667,0.554667,0.554667
144,0.147485,0.384038,0.777333,0.554667,0.554667,0.554667
145,0.14746,0.384005,0.777333,0.554667,0.554667,0.554667
146,0.147434,0.383971,0.777333,0.554667,0.554667,0.554667
147,0.147407,0.383936,0.777333,0.554667,0.554667,0.554667
148,0.147379,0.3839,0.777333,0.554667,0.554667,0.554667
149,0.14735,0.383861,0.777333,0.554667,0.554667,0.554667
150,0.147319,0.383822,0.777333,0.554667,0.554667,0.554667
151,0.147287,0.38378,0.777333,0.554667,0.554667,0.554667
152,0.147254,0.383737,0.777333,0.554667,0.554667,0.554667
153,0.147219,0.383692,0.777333,0.554667,0.554667,0.554667
154,0.147183,0.383644,0.777333,0.554667,0.554667,0.554667
155,0.147145,0.383595,0.777333,0.554667,0.554667,0.554667
156,0.147106,0.383544,0.777333,0.554667,0.554667,0.554667
157,0.147065,0.38349,0.777333,0.554667,0.554667,0.554667
158,0.147022,0.383434,0.777333,0.554667,0.554667,0.554667
159,0.146977,0.383376,0.777333,0.554667,0.554667,0.554667
160,0.14693,0.383315,0.777333,0.554667,0.554667,0.554667
161,0.146882,0.383251,0.777333,0.554667,0.554667,0.554667
162,0.146831,0.383185,0.777333,0.554667,0.554667,0.554667
163,0.146778,0.383116,0.777333,0.554667,0.554667,0.554667
