Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.665363,0.815698,0.25,0.25,1,0.4
2,0.630713,0.794175,0.25,0.25,1,0.4
3,0.613117,0.783018,0.25,0.25,1,0.4
4,0.605754,0.778302,0.25,0.25,1,0.4
5,0.601931,0.775842,0.25,0.25,1,0.4
6,0.599557,0.774311,0.25,0.25,1,0.4
7,0.597942,0.773267,0.25,0.25,1,0.4
8,0.596778,0.772514,0.25,0.25,1,0.4
9,0.5959,0.771945,0.25,0.25,1,0.4
10,0.595211,0.771499,0.25,0.25,1,0.4
11,0.594651,0.771136,0.25,0.25,1,0.4
12,0.594183,0.770833,0.25,0.25,1,0.4
13,0.59378,0.770571,0.25,0.25,1,0.4
14,0.593425,0.770341,0.25,0.25,1,0.4
15,0.593104,0.770133,0.25,0.25,1,0.4
16,0.59281,0.769942,0.25,0.25,1,0.4
17,0.592535,0.769763,0.25,0.25,1,0.4
18,0.592275,0.769594,0.25,0.25,1,0.4
19,0.592026,0.769432,0.25,0.25,1,0.4
20,0.591785,0.769276,0.25,0.25,1,0.4
21,0.591551,0.769123,0.25,0.25,1,0.4
22,0.591321,0.768974,0.25,0.25,1,0.4
23,0.591094,0.768827,0.25,0.25,1,0.4
24,0.590871,0.768681,0.25,0.25,1,0.4
25,0.590648,0.768536,0.25,0.25,1,0.4
26,0.590427,0.768393,0.25,0.25,1,0.4
27,0.590207,0.768249,0.25,0.25,1,0.4
28,0.589987,0.768106,0.25,0.25,1,0.4
29,0.589768,0.767964,0.25,0.25,1,0.4
30,0.589549,0.767821,0.25,0.25,1,0.4
31,0.589329,0.767678,0.25,0.25,1,0.4
32,0.589109,0.767535,0.25,0.25,1,0.4
33,0.58889,0.767391,0.25,0.25,1,0.4
34,0.58867,0.767248,0.25,0.25,1,0.4
35,0.588449,0.767105,0.25,0.25,1,0.4
36,0.588229,0.766961,0.25,0.25,1,0.4
37,0.588009,0.766817,0.25,0.25,1,0.4
38,0.587788,0.766673,0.25,0.25,1,0.4
39,0.587568,0.76653,0.25,0.25,1,0.4
40,0.587348,0.766386,0.25,0.25,1,0.4
41,0.587128,0.766243,0.25,0.25,1,0.4
42,0.586909,0.7661,0.25,0.25,1,0.4
43,0.58669,0.765957,0.25,0.25,1,0.4
44,0.586473,0.765815,0.25,0.25,1,0.4
45,0.586256,0.765673,0.25,0.25,1,0.4
46,0.58604,0.765532,0.25,0.25,1,0.4
47,0.585825,0.765392,0.25,0.25,1,0.4
48,0.585612,0.765253,0.25,0.25,1,0.4
49,0.585401,0.765115,0.25,0.25,1,0.4
50,0.585191,0.764978,0.25,0.25,1,0.4
51,0.584983,0.764842,0.25,0.25,1,0.4
52,0.584776,0.764707,0.25,0.25,1,0.4
53,0.584572,0.764573,0.25,0.25,1,0.4
54,0.584371,0.764441,0.25,0.25,1,0.4
55,0.584171,0.764311,0.25,0.25,1,0.4
56,0.583974,0.764182,0.25,0.25,1,0.4
57,0.583779,0.764054,0.25,0.25,1,0.4
58,0.583587,0.763929,0.25,0.25,1,0.4
59,0.583397,0.763805,0.25,0.25,1,0.4
60,0.58321,0.763682,0.25,0.25,1,0.4
61,0.583026,0.763561,0.25,0.25,1,0.4
62,0.582844,0.763442,0.25,0.25,1,0.4
63,0.582664,0.763324,0.25,0.25,1,0.4
64,0.582487,0.763208,0.25,0.25,1,0.4
65,0.582312,0.763094,0.25,0.25,1,0.4
66,0.582139,0.76298,0.25,0.25,1,0.4
67,0.581968,0.762868,0.25,0.25,1,0.4
68,0.581798,0.762757,0.25,0.25,1,0.4
69,0.58163,0.762647,0.25,0.25,1,0.4
70,0.581463,0.762537,0.25,0.25,1,0.4
71,0.581297,0.762429,0.25,0.25,1,0.4
72,0.581132,0.76232,0.25,0.25,1,0.4
73,0.580967,0.762212,0.25,0.25,1,0.4
74,0.580801,0.762103,0.25,0.25,1,0.4
75,0.580635,0.761994,0.25,0.25,1,0.4
76,0.580469,0.761885,0.25,0.25,1,0.4
77,0.580301,0.761775,0.25,0.25,1,0.4
78,0.580131,0.761663,0.25,0.25,1,0.4
79,0.579959,0.76155,0.25,0.25,1,0.4
80,0.579784,0.761435,0.25,0.25,1,0.4
81,0.579606,0.761318,0.25,0.25,1,0.4
82,0.579424,0.761199,0.25,0.25,1,0.4
83,0.579238,0.761077,0.25,0.25,1,0.4
84,0.579048,0.760952,0.25,0.25,1,0.4
85,0.578853,0.760824,0.25,0.25,1,0.4
86,0.578652,0.760692,0.25,0.25,1,0.4
87,0.578445,0.760556,0.25,0.25,1,0.4
88,0.578232,0.760415,0.25,0.25,1,0.4
89,0.578011,0.760271,0.25,0.25,1,0.4
90,0.577784,0.760121,0.25,0.25,1,0.4
91,0.577549,0.759967,0.25,0.25,1,0.4
92,0.577306,0.759807,0.25,0.25,1,0.4
93,0.577055,0.759641,0.25,0.25,1,0.4
94,0.576795,0.75947,0.25,0.25,1,0.4
95,0.576526,0.759293,0.25,0.25,1,0.4
96,0.576247,0.759109,0.25,0.25,1,0.4
97,0.575959,0.75892,0.25,0.25,1,0.4
98,0.575661,0.758723,0.25,0.25,1,0.4
99,0.575352,0.75852,0.25,0.25,1,0.4
100,0.575033,0.75831,0.25,0.25,1,0.4
101,0.574704,0.758092,0.25,0.25,1,0.4
102,0.574363,0.757867,0.25,0.25,1,0.4
103,0.57401,0.757635,0.25,0.25,1,0.4
104,0.573647,0.757395,0.25,0.25,1,0.4
105,0.573271,0.757147,0.25,0.25,1,0.4
106,0.572883,0.756891,0.25,0.25,1,0.4
107,0.572483,0.756626,0.25,0.25,1,0.4
108,0.572071,0.756354,0.25,0.25,1,0.4
109,0.571645,0.756072,0.25,0.25,1,0.4
110,0.571207,0.755782,0.25,0.25,1,0.4
111,0.570755,0.755483,0.25,0.25,1,0.4
112,0.57029,0.755175,0.25,0.25,1,0.4
113,0.569811,0.754858,0.25,0.25,1,0.4
114,0.569318,0.754531,0.25,0.25,1,0.4
115,0.56881,0.754195,0.25,0.25,1,0.4
116,0.568288,0.753849,0.25,0.25,1,0.4
117,0.567751,0.753493,0.25,0.25,1,0.4
118,0.5672,0.753127,0.25,0.25,1,0.4
119,0.566632,0.75275,0.25,0.25,1,0.4
120,0.56605,0.752363,0.25,0.25,1,0.4
121,0.565451,0.751965,0.25,0.25,1,0.4
122,0.564837,0.751556,0.25,0.25,1,0.4
123,0.564206,0.751137,0.25,0.25,1,0.4
124,0.563559,0.750706,0.25,0.25,1,0.4
125,0.562895,0.750264,0.25,0.25,1,0.4
126,0.562215,0.74981,0.25,0.25,1,0.4
127,0.561517,0.749344,0.25,0.25,1,0.4
128,0.560802,0.748867,0.25,0.25,1,0.4
129,0.56007,0.748378,0.25,0.25,1,0.4
130,0.55932,0.747877,0.25,0.25,1,0.4
131,0.558553,0.747364,0.25,0.25,1,0.4
132,0.557767,0.746838,0.25,0.25,1,0.4
133,0.556964,0.7463,0.25,0.25,1,0.4
134,0.556143,0.74575,0.25,0.25,1,0.4
135,0.555303,0.745187,0.25,0.25,1,0.4
136,0.554446,0.744611,0.25,0.25,1,0.4
137,0.55357,0.744023,0.25,0.25,1,0.4
138,0.552676,0.743422,0.25,0.25,1,0.4
139,0.551763,0.742808,0.25,0.25,1,0.4
140,0.550833,0.742181,0.25,0.25,1,0.4
141,0.549884,0.741541,0.25,0.25,1,0.4
142,0.548917,0.740889,0.25,0.25,1,0.4
143,0.547931,0.740224,0.25,0.25,1,0.4
144,0.546928,0.739546,0.25,0.25,1,0.4
145,0.545907,0.738855,0.25,0.25,1,0.4
146,0.544868,0.738152,0.25,0.25,1,0.4
147,0.543811,0.737436,0.25,0.25,1,0.4
148,0.542737,0.736707,0.25,0.25,1,0.4
149,0.541646,0.735966,0.25,0.25,1,0.4
150,0.540537,0.735212,0.25,0.25,1,0.4
151,0.539411,0.734446,0.25,0.25,1,0.4
152,0.538269,0.733668,0.25,0.25,1,0.4
153,0.537111,0.732878,0.25,0.25,1,0.4
154,0.535936,0.732077,0.25,0.25,1,0.4
155,0.534746,0.731263,0.25,0.25,1,0.4
156,0.53354,0.730438,0.25,0.25,1,0.4
157,0.53232,0.729602,0.25,0.25,1,0.4
158,0.531084,0.728755,0.25,0.25,1,0.4
159,0.529834,0.727897,0.25,0.25,1,0.4
160,0.528571,0.727029,0.25,0.25,1,0.4
161,0.527294,0.72615,0.25,0.25,1,0.4
162,0.526003,0.725261,0.25,0.25,1,0.4
163,0.524701,0.724362,0.25,0.25,1,0.4
164,0.523386,0.723454,0.25,0.25,1,0.4
165,0.522059,0.722537,0.25,0.25,1,0.4
166,0.520721,0.72161,0.25,0.25,1,0.4
167,0.519373,0.720675,0.25,0.25,1,0.4
168,0.518014,0.719732,0.25,0.25,1,0.4
169,0.516646,0.718781,0.25,0.25,1,0.4
170,0.515269,0.717822,0.25,0.25,1,0.4
171,0.513883,0.716856,0.25,0.25,1,0.4
172,0.512488,0.715883,0.25,0.25,1,0.4
173,0.511087,0.714903,0.25,0.25,1,0.4
174,0.509678,0.713917,0.25,0.25,1,0.4
175,0.508263,0.712926,0.25,0.25,1,0.4
