Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.172764,0.415649,0.741667,0.483333,0.483333,0.483333
2,0.176942,0.420645,0.6875,0.375,0.375,0.375
3,0.178405,0.422381,0.7,0.4,0.4,0.4
4,0.177169,0.420914,0.7,0.4,0.4,0.4
5,0.176248,0.419819,0.704167,0.408333,0.408333,0.408333
6,0.175433,0.418847,0.708333,0.416667,0.416667,0.416667
7,0.174644,0.417904,0.708333,0.416667,0.416667,0.416667
8,0.173864,0.41697,0.708333,0.416667,0.416667,0.416667
9,0.173083,0.416032,0.7125,0.425,0.425,0.425
10,0.172288,0.415076,0.716667,0.433333,0.433333,0.433333
11,0.171469,0.414088,0.720833,0.441667,0.441667,0.441667
12,0.170613,0.413053,0.720833,0.441667,0.441667,0.441667
13,0.169711,0.41196,0.725,0.45,0.45,0.45
14,0.168757,0.410801,0.733333,0.466667,0.466667,0.466667
15,0.167749,0.409572,0.7375,0.475,0.475,0.475
16,0.166688,0.408274,0.741667,0.483333,0.483333,0.483333
17,0.165577,0.406911,0.741667,0.483333,0.483333,0.483333
18,0.164424,0.405492,0.741667,0.483333,0.483333,0.483333
19,0.163238,0.404027,0.741667,0.483333,0.483333,0.483333
20,0.162029,0.402528,0.75,0.5,0.5,0.5
21,0.160809,0.40101,0.75,0.5,0.5,0.5
22,0.159588,0.399484,0.75,0.5,0.5,0.5
23,0.158376,0.397964,0.758333,0.516667,0.516667,0.516667
24,0.157182,0.396462,0.758333,0.516667,0.516667,0.516667
25,0.156014,0.394985,0.7625,0.525,0.525,0.525
26,0.154877,0.393544,0.770833,0.541667,0.541667,0.541667
27,0.153777,0.392145,0.775,0.55,0.55,0.55
28,0.152718,0.390791,0.779167,0.558333,0.558333,0.558333
29,0.151701,0.389488,0.779167,0.558333,0.558333,0.558333
30,0.150728,0.388237,0.783333,0.566667,0.566667,0.566667
31,0.149799,0.387038,0.7875,0.575,0.575,0.575
32,0.148913,0.385893,0.7875,0.575,0.575,0.575
33,0.148072,0.384801,0.7875,0.575,0.575,0.575
34,0.147272,0.38376,0.783333,0.566667,0.566667,0.566667
35,0.146512,0.382769,0.783333,0.566667,0.566667,0.566667
36,0.145792,0.381827,0.783333,0.566667,0.566667,0.566667
37,0.145109,0.380931,0.783333,0.566667,0.566667,0.566667
38,0.144461,0.38008,0.783333,0.566667,0.566667,0.566667
39,0.143847,0.379271,0.783333,0.566667,0.566667,0.566667
40,0.143264,0.378503,0.7875,0.575,0.575,0.575
41,0.142712,0.377772,0.7875,0.575,0.575,0.575
42,0.142188,0.377078,0.783333,0.566667,0.566667,0.566667
43,0.14169,0.376418,0.7875,0.575,0.575,0.575
44,0.141218,0.37579,0.7875,0.575,0.575,0.575
45,0.14077,0.375193,0.7875,0.575,0.575,0.575
46,0.140343,0.374624,0.7875,0.575,0.575,0.575
47,0.139938,0.374083,0.7875,0.575,0.575,0.575
48,0.139553,0.373567,0.783333,0.566667,0.566667,0.566667
49,0.139186,0.373076,0.775,0.55,0.55,0.55
50,0.138836,0.372608,0.770833,0.541667,0.541667,0.541667
51,0.138504,0.372161,0.770833,0.541667,0.541667,0.541667
52,0.138186,0.371734,0.770833,0.541667,0.541667,0.541667
53,0.137883,0.371327,0.770833,0.541667,0.541667,0.541667
54,0.137594,0.370937,0.770833,0.541667,0.541667,0.541667
55,0.137318,0.370565,0.770833,0.541667,0.541667,0.541667
56,0.137055,0.370209,0.770833,0.541667,0.541667,0.541667
57,0.136802,0.369868,0.770833,0.541667,0.541667,0.541667
58,0.136561,0.369541,0.770833,0.541667,0.541667,0.541667
59,0.13633,0.369228,0.770833,0.541667,0.541667,0.541667
60,0.136108,0.368928,0.770833,0.541667,0.541667,0.541667
61,0.135895,0.36864,0.766667,0.533333,0.533333,0.533333
62,0.135691,0.368363,0.7625,0.525,0.525,0.525
63,0.135496,0.368097,0.766667,0.533333,0.533333,0.533333
64,0.135307,0.367841,0.766667,0.533333,0.533333,0.533333
