Epoch,MSE,RMSE,Accuracy,Precision,Recall,F1Score
1,0.196007,0.442727,0.8,0.6,0.6,0.6
2,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
3,0.2,0.447214,0.8,0.6,0.6,0.6
4,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
5,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
6,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
7,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
8,0.1875,0.433013,0.8125,0.625,0.625,0.625
9,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
10,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
11,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
12,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
13,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
14,0.1875,0.433013,0.8125,0.625,0.625,0.625
15,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
16,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
17,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
18,0.2,0.447214,0.8,0.6,0.6,0.6
19,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
20,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
21,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
22,0.179167,0.423281,0.820833,0.641667,0.641667,0.641667
23,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
24,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
25,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
26,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
27,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
28,0.1875,0.433013,0.8125,0.625,0.625,0.625
29,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
30,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
31,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
32,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
33,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
34,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
35,0.2,0.447214,0.8,0.6,0.6,0.6
36,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
37,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
38,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
39,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
40,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
41,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
42,0.2,0.447214,0.8,0.6,0.6,0.6
43,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
44,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
45,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
46,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
47,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
48,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
49,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
50,0.208333,0.456435,0.791667,0.583333,0.583333,0.583333
51,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
52,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
53,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
54,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
55,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
56,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
57,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
58,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
59,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
60,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
61,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
62,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
63,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
64,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
65,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
66,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
67,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
68,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
69,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
70,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
71,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
72,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
73,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
74,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
75,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
76,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
77,0.1875,0.433013,0.8125,0.625,0.625,0.625
78,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
79,0.195833,0.442531,0.804167,0.608333,0.608333,0.608333
80,0.191667,0.437798,0.808333,0.616667,0.616667,0.616667
